,MS_SubClass,Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,BsmtFin_SF_1,Total_Bsmt_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,Enclosed_Porch
24,190,100.0,34650,5,5,1955,1955,1056.0,1056.0,1056,1.0,3,5,0,572.0,0
25,20,92.0,10573,6,6,1961,1961,1312.0,1453.0,1453,1.0,3,6,1,530.0,0
26,20,65.0,8450,5,8,1965,2009,553.0,894.0,894,1.0,3,5,1,336.0,0
27,50,0.0,11700,5,6,1937,1995,606.0,942.0,1938,0.0,4,7,1,240.0,0
28,190,75.0,8250,5,6,1895,2006,0.0,957.0,1991,0.0,4,9,0,0.0,133
29,50,60.0,8064,5,7,1949,2006,0.0,672.0,924,0.0,3,6,1,576.0,0
30,20,80.0,9600,8,5,1981,1981,1104.0,2524.0,2524,1.0,4,9,1,542.0,0
31,70,0.0,11435,8,7,1929,1950,0.0,792.0,1517,0.0,3,7,2,400.0,0
32,120,30.0,9549,8,5,1995,1996,437.0,1494.0,1494,1.0,2,6,1,481.0,0
33,20,60.0,10950,6,6,1952,1952,441.0,948.0,948,0.0,2,5,0,410.0,0
34,20,79.0,10637,8,5,2007,2008,1288.0,1705.0,1718,1.0,3,7,1,826.0,0
35,20,80.0,9000,6,6,1958,1958,0.0,160.0,1142,0.0,2,5,1,384.0,64
36,160,41.0,2665,5,6,1977,1977,548.0,757.0,1475,0.0,4,6,1,336.0,0
37,20,105.0,11751,6,6,1977,1977,705.0,1844.0,1844,0.0,3,7,1,546.0,0
38,20,80.0,9600,7,6,1973,1973,916.0,1242.0,1242,0.0,3,6,1,528.0,0
39,20,60.0,8428,5,7,1994,1994,420.0,990.0,990,1.0,3,5,0,384.0,0
40,20,75.0,9937,5,6,1965,1965,830.0,1256.0,1256,1.0,3,6,0,276.0,0
41,20,107.0,13891,10,5,2006,2006,1386.0,2076.0,2076,1.0,2,7,1,850.0,0
42,85,0.0,9101,5,6,1978,1978,1097.0,1097.0,1110,1.0,1,4,1,602.0,0
43,50,81.0,12150,5,5,1954,1954,0.0,1050.0,1795,0.0,4,7,0,352.0,0
44,20,70.0,11200,5,5,1965,1965,906.0,1040.0,1040,1.0,3,5,0,384.0,0
45,70,100.0,9670,8,6,1935,1950,210.0,608.0,1873,0.0,4,9,2,786.0,207
46,50,60.0,10998,5,5,1941,1960,408.0,984.0,1604,0.0,3,6,0,660.0,0
47,70,60.0,7200,7,6,1931,2000,0.0,776.0,1502,0.0,3,6,1,270.0,112
48,20,80.0,9920,5,5,1954,1954,354.0,1056.0,1063,1.0,3,6,0,280.0,164
49,160,36.0,2448,7,5,2003,2004,0.0,764.0,1626,0.0,2,6,0,474.0,0
50,160,0.0,2998,6,5,2000,2000,353.0,756.0,1524,0.0,2,4,0,440.0,0
51,50,65.0,7804,4,3,1928,1950,622.0,1122.0,1981,1.0,4,7,2,576.0,0
52,60,80.0,16692,7,5,1978,1978,790.0,1392.0,2784,1.0,5,12,2,564.0,0
53,160,21.0,1476,4,7,1970,1970,176.0,546.0,1092,0.0,3,5,0,0.0,0
54,20,75.0,10170,6,6,1951,1951,0.0,216.0,1575,0.0,2,5,1,400.0,0
55,60,80.0,9364,6,7,1969,1969,371.0,663.0,1352,0.0,4,7,0,299.0,0
56,160,24.0,2544,7,5,2004,2005,368.0,600.0,1200,1.0,2,4,0,480.0,0
57,20,82.0,9888,5,6,1954,1975,486.0,936.0,936,0.0,2,5,0,240.0,160
58,20,68.0,7942,6,7,1953,1953,85.0,1040.0,1040,0.0,3,6,0,293.0,0
59,60,0.0,15038,6,5,1996,1996,138.0,916.0,1636,0.0,3,7,1,386.0,0
60,60,92.0,11764,8,7,1999,2007,524.0,1152.0,2270,0.0,4,9,1,671.0,0
61,60,75.0,9000,8,5,2007,2007,64.0,1184.0,2610,0.0,4,11,1,550.0,0
62,20,0.0,20062,7,7,1977,2001,1092.0,1420.0,1483,1.0,1,4,2,690.0,0
63,50,81.0,7308,5,5,1920,1950,360.0,936.0,1740,0.0,2,6,1,225.0,236
64,20,70.0,8750,5,5,1955,1955,172.0,1382.0,1382,0.0,3,6,0,350.0,0
65,20,70.0,8402,5,5,2007,2007,206.0,1120.0,1120,0.0,3,6,0,0.0,0
66,70,63.0,4000,7,8,1930,1995,246.0,531.0,1098,1.0,2,5,1,216.0,0
67,160,32.0,3363,7,5,2004,2004,0.0,976.0,1708,0.0,3,7,0,380.0,0
68,20,94.0,13615,9,5,2006,2006,0.0,1802.0,1802,0.0,3,7,1,843.0,0
69,120,43.0,3013,7,5,2005,2005,16.0,1362.0,1506,0.0,2,6,1,440.0,0
70,20,44.0,17485,7,5,2009,2010,1346.0,1508.0,1508,1.0,1,5,2,572.0,0
71,20,0.0,23730,7,5,1996,1997,700.0,1840.0,2032,1.0,3,7,0,786.0,192
72,20,79.0,8910,6,6,1959,1959,655.0,655.0,1194,0.0,3,6,1,539.0,192
73,160,24.0,2522,7,5,2004,2004,0.0,970.0,1709,0.0,3,7,0,380.0,0
74,20,73.0,8688,7,5,2005,2005,0.0,1616.0,1616,0.0,3,7,0,834.0,0
75,30,0.0,6291,6,6,1930,1950,0.0,768.0,768,0.0,1,4,0,440.0,84
76,30,0.0,17529,5,5,1924,1950,0.0,872.0,872,0.0,2,5,1,322.0,116
77,30,60.0,6324,4,6,1927,1950,0.0,520.0,520,0.0,1,4,0,240.0,87
78,90,80.0,11600,5,5,1960,1960,443.0,1105.0,2274,0.0,5,12,0,480.0,0
79,50,50.0,7288,5,7,1925,2003,0.0,936.0,1601,0.0,3,6,0,0.0,0
80,70,35.0,4571,5,7,1910,1950,168.0,616.0,1232,0.0,3,6,0,480.0,143
81,20,63.0,17423,9,5,2008,2009,1904.0,2216.0,2234,1.0,1,9,1,1166.0,0
82,50,100.0,12665,5,8,1915,1950,0.0,876.0,1416,0.0,4,7,1,720.0,194
83,20,60.0,9000,4,7,1971,2006,240.0,864.0,864,0.0,3,5,0,576.0,0
84,120,32.0,4500,6,5,1997,1997,864.0,1189.0,1189,1.0,2,4,0,392.0,0
85,120,48.0,6373,9,5,2006,2006,415.0,1666.0,1666,1.0,2,6,1,575.0,0
86,20,67.0,10083,7,5,2003,2003,833.0,1176.0,1200,1.0,2,5,0,555.0,0
87,20,70.0,13300,5,7,1956,2000,377.0,928.0,928,0.0,2,4,0,252.0,156
88,20,80.0,9600,5,5,1969,1969,553.0,1288.0,1336,0.0,3,6,1,502.0,0
89,160,30.0,3215,7,5,2004,2004,280.0,600.0,1200,0.0,2,4,0,480.0,0
90,80,0.0,11104,6,6,1969,1969,828.0,1427.0,1427,0.0,4,7,0,516.0,0
91,60,0.0,15295,7,5,1996,2002,762.0,860.0,1992,1.0,3,7,2,608.0,0
92,60,70.0,9109,7,5,1994,1994,36.0,754.0,1540,1.0,3,6,0,495.0,0
93,90,64.0,7018,5,5,1979,1979,0.0,0.0,1535,0.0,4,8,0,400.0,0
94,80,0.0,14112,5,7,1964,1964,1014.0,1152.0,1152,1.0,3,6,1,484.0,0
95,120,80.0,3523,8,5,2006,2007,60.0,1141.0,1151,1.0,2,5,0,484.0,0
96,80,88.0,15312,6,5,1960,1960,588.0,1138.0,1138,0.0,3,6,1,480.0,0
97,20,74.0,7450,5,5,1956,1956,438.0,894.0,1074,0.0,2,6,1,396.0,0
98,120,60.0,7313,9,5,2005,2005,1153.0,1561.0,1561,1.0,2,6,1,556.0,0
99,60,83.0,10019,8,5,1995,1995,527.0,1342.0,2726,0.0,4,9,1,725.0,168
100,20,53.0,15401,9,5,2004,2004,1337.0,1884.0,1884,1.0,2,7,1,670.0,0
101,30,58.0,9098,4,7,1920,2002,348.0,528.0,605,1.0,2,5,0,0.0,144
102,20,103.0,16280,8,9,1976,2007,1044.0,1426.0,1671,1.0,3,6,1,550.0,0
103,30,72.0,9392,3,3,1900,1950,0.0,245.0,797,0.0,2,5,0,0.0,94
104,60,71.0,12209,6,5,2001,2002,690.0,804.0,1961,1.0,3,7,1,560.0,0
105,190,79.0,13110,5,6,1972,1972,962.0,1153.0,1193,1.0,2,6,0,501.0,0
106,160,0.0,2651,7,5,2000,2000,641.0,673.0,1382,1.0,3,6,0,490.0,0
107,50,60.0,8520,6,7,1916,1950,168.0,714.0,2526,0.0,5,10,1,216.0,0
108,20,0.0,39384,6,6,1957,1957,1110.0,1705.0,1390,1.0,1,4,2,550.0,0
109,160,36.0,2628,7,5,2003,2003,0.0,764.0,1626,0.0,2,6,0,474.0,0
110,70,57.0,6406,5,6,1939,1950,421.0,690.0,1558,0.0,3,7,1,400.0,0
111,20,0.0,12342,5,5,1960,1978,0.0,978.0,1422,0.0,3,6,1,286.0,36
112,50,52.0,6240,5,7,1930,1992,0.0,1078.0,1573,0.0,3,8,1,360.0,0
113,20,87.0,10000,6,6,1962,1962,0.0,1116.0,1116,0.0,3,5,0,440.0,0
114,20,0.0,9000,2,2,1947,1950,0.0,0.0,660,0.0,2,5,0,0.0,100
115,20,80.0,11088,6,5,1978,1998,832.0,1140.0,1707,0.0,3,7,1,479.0,0
116,20,134.0,17755,5,4,1959,1959,176.0,1466.0,1466,0.0,3,6,2,528.0,0
117,120,0.0,4765,9,5,2000,2000,1027.0,1614.0,1638,1.0,2,5,1,495.0,0
118,190,0.0,10532,5,3,1960,1960,988.0,988.0,1721,1.0,3,7,2,626.0,0
119,60,65.0,15426,6,5,1997,1997,821.0,928.0,1764,1.0,3,7,0,470.0,0
120,30,63.0,13907,5,6,1940,1969,290.0,996.0,996,1.0,3,6,1,0.0,0
121,20,70.0,8750,5,5,1956,1956,435.0,1202.0,1202,0.0,3,6,0,304.0,120
122,20,0.0,9945,5,5,1961,1961,827.0,988.0,988,1.0,3,5,0,572.0,0
123,30,56.0,8960,5,6,1927,1950,0.0,1008.0,1028,0.0,2,5,1,360.0,130
124,50,50.0,3500,5,7,1947,1950,312.0,720.0,1284,0.0,2,5,0,240.0,0
125,60,0.0,24572,9,3,1977,1977,410.0,994.0,2944,0.0,3,9,1,864.0,16
126,60,74.0,9056,8,5,2004,2004,0.0,707.0,1414,0.0,3,6,1,403.0,0
127,70,70.0,12320,7,7,1932,1990,0.0,637.0,1609,0.0,3,8,2,579.0,0
128,60,60.0,8238,6,5,1997,1998,700.0,813.0,1525,1.0,3,6,1,400.0,0
129,80,75.0,6000,5,5,1967,1967,257.0,624.0,1656,0.0,3,7,1,288.0,0
130,120,24.0,2529,7,6,1977,1977,378.0,1055.0,1055,0.0,2,4,0,440.0,0
131,60,60.0,10800,5,7,1939,2006,0.0,676.0,1352,0.0,4,7,0,720.0,128
132,160,24.0,2349,6,5,1977,1977,389.0,855.0,1456,0.0,3,6,1,440.0,0
133,120,32.0,10846,8,5,1993,1993,1619.0,1719.0,1719,2.0,1,6,2,473.0,0
134,30,67.0,5604,5,6,1925,1950,468.0,864.0,864,1.0,2,5,0,0.0,96
135,160,21.0,1680,6,5,1973,1973,458.0,483.0,987,0.0,2,5,0,264.0,0
136,50,54.0,6342,5,8,1875,1996,0.0,780.0,1020,0.0,2,6,0,0.0,176
137,120,34.0,4590,8,5,2006,2006,24.0,1554.0,1554,0.0,2,6,1,627.0,0
138,60,60.0,18062,10,5,2006,2006,0.0,1528.0,3390,0.0,5,10,1,758.0,0
139,70,60.0,12900,6,8,1912,2009,0.0,780.0,1560,0.0,3,7,0,0.0,0
140,20,140.0,19138,4,5,1951,1951,120.0,864.0,864,0.0,2,4,0,400.0,0
141,60,0.0,8658,6,5,2000,2000,732.0,982.0,1889,0.0,3,9,1,431.0,0
142,20,0.0,6897,5,8,1962,2010,659.0,1040.0,1040,1.0,3,6,0,260.0,0
143,20,75.0,9525,5,7,1954,1998,954.0,1172.0,1172,1.0,3,5,0,366.0,0
144,20,57.0,12853,8,5,2010,2010,1032.0,1642.0,1418,1.0,1,6,1,852.0,0
145,50,52.0,6240,6,6,1931,1950,425.0,884.0,1367,0.0,3,6,1,560.0,0
146,85,64.0,7301,7,5,2003,2003,0.0,0.0,1922,0.0,4,7,1,672.0,177
147,20,78.0,12090,6,6,1981,1981,588.0,1422.0,1422,0.0,3,7,1,576.0,0
148,60,0.0,8826,7,5,2000,2000,841.0,985.0,1842,1.0,3,7,1,486.0,0
149,50,57.0,8094,4,5,1915,1950,0.0,888.0,1962,0.0,4,9,1,572.0,364
150,20,0.0,10710,5,7,1966,2004,644.0,864.0,1120,0.0,3,5,1,656.0,0
151,60,85.0,16056,9,5,2005,2006,240.0,1992.0,2868,0.0,4,11,1,716.0,0
152,20,70.0,8400,6,3,1957,1957,189.0,1478.0,1478,1.0,3,6,2,442.0,0
153,60,90.0,11250,7,5,1995,1996,685.0,930.0,1995,1.0,4,8,1,610.0,0
154,20,70.0,7535,5,7,1958,1985,111.0,912.0,912,0.0,2,5,0,297.0,0
155,20,88.0,12216,6,5,2005,2005,918.0,1326.0,1326,1.0,3,6,0,388.0,0
156,120,30.0,3701,8,5,1987,1987,0.0,1191.0,1204,0.0,2,5,0,461.0,0
157,60,80.0,9760,6,6,1964,1964,674.0,780.0,1611,1.0,4,7,0,442.0,0
158,190,60.0,9873,4,5,1970,1970,789.0,960.0,960,1.0,3,6,0,576.0,0
159,20,72.0,10011,5,6,1957,1996,360.0,1070.0,1236,0.0,2,6,1,447.0,0
160,30,0.0,25339,5,7,1918,2007,0.0,816.0,1416,0.0,3,7,0,576.0,112
161,60,0.0,8883,7,5,1988,1988,608.0,929.0,1873,1.0,3,7,1,619.0,0
162,90,50.0,3000,5,1,1922,1950,0.0,1040.0,2128,0.0,4,11,0,0.0,0
163,160,36.0,2448,7,5,2003,2004,573.0,764.0,1626,1.0,2,6,0,474.0,0
164,20,73.0,7100,5,7,1957,1957,708.0,816.0,816,1.0,2,5,0,308.0,0
165,160,36.0,2592,5,3,1976,1976,129.0,536.0,1112,0.0,3,4,0,336.0,0
166,50,0.0,5700,7,7,1926,1950,0.0,572.0,1111,0.0,2,5,1,288.0,176
167,160,24.0,2289,6,6,1978,1978,311.0,855.0,1441,0.0,3,7,1,440.0,0
168,190,60.0,12180,4,4,1941,1950,348.0,672.0,924,1.0,2,5,0,280.0,0
169,85,0.0,7400,5,5,1984,1984,104.0,1060.0,1126,1.0,2,5,0,506.0,0
170,20,68.0,8842,5,6,1954,1954,0.0,381.0,992,0.0,3,6,0,319.0,56
171,50,60.0,8850,6,7,1920,1950,0.0,768.0,1376,0.0,3,7,0,576.0,144
172,20,92.0,9215,7,5,2009,2010,0.0,1218.0,1218,0.0,2,4,0,676.0,0
173,70,79.0,9480,5,7,1942,1995,386.0,728.0,1644,0.0,3,7,2,312.0,0
174,20,82.0,11880,7,5,1978,1978,704.0,1271.0,1601,0.0,3,7,1,478.0,0
175,70,60.0,10800,7,7,1890,1999,0.0,1313.0,2495,0.0,5,10,1,342.0,0
176,60,0.0,7861,6,5,2002,2003,457.0,783.0,1509,1.0,3,7,1,393.0,0
177,20,0.0,11616,5,5,1962,1962,170.0,1092.0,1092,0.0,3,6,1,288.0,144
178,60,96.0,10542,7,5,1993,1994,1173.0,1311.0,2418,1.0,3,9,1,983.0,216
179,160,21.0,1680,6,5,1971,1971,156.0,483.0,987,0.0,2,5,0,264.0,0
180,20,80.0,8546,4,5,2003,2004,0.0,1121.0,1121,0.0,2,5,0,440.0,0
181,20,90.0,7407,6,7,1957,1996,600.0,912.0,1236,1.0,2,6,0,923.0,158
182,20,78.0,10140,5,6,1975,1975,788.0,1056.0,1074,1.0,3,6,0,495.0,0
183,60,65.0,8158,7,5,2003,2003,550.0,884.0,1768,1.0,3,8,0,543.0,0
184,20,62.0,7500,7,5,2005,2005,0.0,1257.0,1266,0.0,3,6,1,453.0,0
185,50,85.0,10678,8,5,1992,2000,700.0,1683.0,2872,0.0,4,9,1,541.0,0
186,20,49.0,15256,8,5,2007,2007,929.0,1485.0,1464,1.0,3,6,0,754.0,0
187,60,88.0,14200,7,6,1966,1966,445.0,924.0,2157,0.0,4,8,2,487.0,0
188,60,82.0,12438,8,5,2006,2006,0.0,1234.0,2576,0.0,4,10,1,666.0,0
189,60,59.0,16023,9,5,2005,2006,1218.0,1398.0,2798,1.0,3,11,1,670.0,0
190,20,155.0,20064,8,6,1976,1976,51.0,966.0,1743,2.0,0,5,2,529.0,0
191,20,0.0,9819,6,5,1977,1977,1567.0,1567.0,1567,1.0,2,5,2,714.0,0
192,20,80.0,10400,7,5,1976,1976,0.0,1090.0,1370,0.0,3,6,1,479.0,0
193,90,91.0,11643,5,5,1969,1969,500.0,1248.0,2634,1.0,6,12,0,968.0,0
194,20,78.0,11645,8,5,2005,2006,1122.0,1570.0,1590,1.0,2,6,0,754.0,0
195,20,61.0,7328,7,5,2008,2009,0.0,1450.0,1450,0.0,2,6,0,788.0,0
196,50,72.0,7822,6,3,1915,1950,0.0,832.0,1338,0.0,3,7,0,528.0,208
197,60,65.0,9018,7,5,2007,2007,0.0,728.0,1456,0.0,3,8,1,400.0,0
198,20,103.0,13472,10,5,2003,2003,56.0,2392.0,2392,0.0,3,8,1,968.0,0
199,180,0.0,1533,4,5,1970,1970,503.0,530.0,992,1.0,2,4,0,297.0,0
200,60,85.0,11003,10,5,2008,2008,765.0,1017.0,2007,1.0,3,10,1,812.0,0
201,60,83.0,10790,7,5,1998,1998,0.0,1066.0,2385,0.0,4,8,1,600.0,0
202,75,53.0,7128,7,5,1941,1950,364.0,918.0,1646,0.0,4,7,2,240.0,0
203,60,64.0,7713,7,5,2007,2007,0.0,728.0,1456,0.0,3,7,0,400.0,0
204,50,52.0,6240,5,7,1936,1980,276.0,528.0,1040,0.0,2,5,0,624.0,32
205,70,86.0,22420,6,6,1918,1950,1128.0,1370.0,2624,1.0,4,10,1,864.0,0
206,20,85.0,15300,5,5,1965,1977,42.0,1068.0,1264,1.0,2,7,1,528.0,0
207,120,0.0,3196,7,5,2003,2004,0.0,1374.0,1557,0.0,2,7,1,420.0,0
208,85,72.0,9360,6,7,1977,1977,841.0,957.0,1287,1.0,2,5,2,541.0,0
209,20,0.0,11241,6,7,1970,1970,578.0,1004.0,1004,1.0,2,5,1,480.0,0
210,20,81.0,9260,7,5,2007,2007,0.0,1162.0,1162,0.0,3,6,0,483.0,0
211,20,90.0,7993,7,5,2008,2009,0.0,1436.0,1436,0.0,3,6,0,529.0,0
212,20,94.0,9239,5,8,1963,2003,634.0,960.0,960,1.0,3,6,0,300.0,0
213,20,60.0,10044,5,6,1968,1968,1070.0,1196.0,1196,1.0,3,6,0,336.0,168
214,120,43.0,3182,8,5,2004,2005,24.0,1256.0,1269,0.0,2,6,1,430.0,0
215,20,60.0,7626,5,8,1952,2005,931.0,1031.0,1031,1.0,2,5,0,230.0,0
216,50,60.0,7008,4,8,1900,1998,0.0,448.0,720,0.0,1,5,0,280.0,70
217,20,128.0,12160,6,4,1953,1953,1024.0,1505.0,1505,1.0,2,6,1,505.0,0
218,30,50.0,6305,5,7,1938,1950,0.0,920.0,954,0.0,2,5,1,240.0,0
219,60,68.0,8846,6,5,2005,2006,0.0,750.0,1500,0.0,3,6,0,564.0,0
220,20,0.0,10659,5,6,1961,1961,915.0,1050.0,1050,1.0,3,6,0,368.0,0
221,160,68.0,13108,8,5,1994,1994,0.0,2062.0,2687,0.0,4,9,0,618.0,0
222,20,0.0,13500,6,7,1960,1975,429.0,1602.0,1252,1.0,1,4,1,564.0,0
223,80,62.0,7750,7,5,1999,2000,0.0,384.0,1430,0.0,3,7,1,400.0,0
224,20,60.0,12450,5,5,2003,2004,836.0,1114.0,1114,1.0,3,6,0,576.0,0
225,120,0.0,4500,6,5,1999,1999,883.0,1224.0,1224,1.0,2,5,0,402.0,0
226,60,77.0,11198,9,5,2005,2007,0.0,1122.0,2504,0.0,4,11,1,656.0,0
227,190,79.0,6221,5,5,1941,1950,533.0,728.0,1355,0.0,3,5,0,528.0,0
228,80,120.0,13200,6,6,1963,1963,375.0,741.0,2294,0.0,5,9,1,658.0,0
229,120,65.0,8769,9,5,2008,2008,1540.0,1702.0,1702,1.0,1,7,1,1052.0,0
230,80,85.0,10200,6,5,1988,1989,783.0,1461.0,1509,1.0,3,5,1,600.0,0
231,70,60.0,9550,7,5,1915,1970,216.0,756.0,1717,1.0,3,7,1,642.0,272
232,20,42.0,10331,7,7,1985,1985,215.0,1265.0,1240,0.0,3,6,0,528.0,0
233,80,59.0,9587,7,5,2005,2005,655.0,856.0,1166,1.0,2,5,0,400.0,0
234,70,90.0,9900,5,8,1910,2002,0.0,504.0,1464,0.0,3,7,0,0.0,176
235,20,0.0,22002,6,7,1959,1991,1386.0,1592.0,1652,1.0,3,6,1,510.0,0
236,60,100.0,13000,6,6,1968,1968,448.0,896.0,2142,0.0,4,8,1,509.0,0
237,20,75.0,8250,6,7,1964,1964,787.0,1092.0,1092,1.0,3,6,0,504.0,0
238,50,81.0,8170,7,7,1929,1950,526.0,1022.0,1671,0.0,4,7,1,451.0,0
239,20,80.0,12048,5,6,1952,2002,0.0,0.0,1488,0.0,3,7,1,569.0,36
240,20,89.0,10858,5,6,1952,1952,40.0,1444.0,1624,1.0,2,6,1,240.0,324
241,120,61.0,7577,6,5,2005,2006,20.0,1362.0,1362,0.0,2,6,1,460.0,0
242,20,62.0,7500,7,5,2007,2008,902.0,1218.0,1218,1.0,2,6,0,462.0,0
243,30,51.0,6120,6,5,1923,1950,960.0,1124.0,1068,1.0,2,5,1,288.0,128
244,20,69.0,23580,6,6,1979,1979,776.0,1625.0,1625,0.0,3,6,1,576.0,0
245,160,44.0,5306,7,7,1987,1987,495.0,1064.0,1767,1.0,2,5,1,504.0,0
246,20,70.0,8092,6,8,1954,2000,824.0,1050.0,1050,1.0,3,6,0,286.0,0
247,20,77.0,8593,4,6,1957,1957,288.0,907.0,907,0.0,3,5,0,352.0,0
248,50,64.0,11067,2,4,1939,1950,0.0,0.0,845,0.0,1,4,0,256.0,0
249,60,0.0,11929,8,7,1995,1995,0.0,1242.0,2501,0.0,4,9,1,751.0,0
250,20,90.0,9900,5,5,1966,1966,1059.0,1209.0,1209,1.0,3,6,0,504.0,120
251,70,50.0,4882,4,7,1937,1950,120.0,348.0,906,0.0,2,5,0,231.0,0
252,20,0.0,11423,8,5,2001,2002,1358.0,1581.0,1601,1.0,3,6,1,670.0,0
253,20,65.0,8772,7,5,2005,2006,996.0,1336.0,1336,1.0,3,6,0,502.0,0
254,50,63.0,7628,4,6,1940,1985,0.0,801.0,1656,0.0,2,8,0,440.0,0
255,20,77.0,8335,5,5,1954,1954,0.0,0.0,1124,0.0,3,5,1,0.0,190
256,60,71.0,8220,7,5,2000,2001,544.0,982.0,1892,0.0,3,8,1,431.0,0
257,190,107.0,10615,3,5,1900,1970,440.0,978.0,1699,1.0,3,7,0,420.0,0
258,50,50.0,6000,6,7,1948,1950,300.0,780.0,1416,0.0,3,6,0,312.0,48
259,30,55.0,5350,3,2,1940,1966,0.0,728.0,1306,0.0,3,6,0,0.0,0
260,30,60.0,5400,4,7,1940,2005,0.0,672.0,672,0.0,2,4,0,308.0,0
261,20,0.0,17979,5,6,1968,1968,785.0,1113.0,1160,1.0,3,6,0,257.0,0
262,20,68.0,9520,4,5,1953,1953,767.0,911.0,930,0.0,2,5,0,286.0,0
263,30,50.0,5330,4,7,1940,1950,280.0,420.0,708,0.0,2,5,0,0.0,0
264,120,50.0,8012,6,5,1992,1992,430.0,1575.0,1575,1.0,2,5,0,529.0,52
265,20,75.0,9000,5,6,1966,1966,773.0,1059.0,1059,1.0,3,6,0,286.0,0
266,20,62.0,14299,4,3,1964,1964,513.0,1005.0,1005,1.0,3,5,0,440.0,0
267,60,0.0,7050,7,5,2001,2001,738.0,1057.0,1929,1.0,3,7,1,650.0,0
268,160,30.0,3180,7,5,2005,2005,0.0,600.0,1200,0.0,2,4,0,480.0,0
269,60,112.0,16451,8,5,2003,2003,0.0,1765.0,2690,0.0,4,9,1,795.0,0
270,20,76.0,12887,5,7,1984,1984,207.0,833.0,833,1.0,2,5,0,495.0,0
271,60,105.0,15578,6,5,2006,2006,0.0,728.0,1456,0.0,3,8,0,429.0,0
272,20,60.0,7200,5,8,1950,2002,398.0,864.0,864,1.0,3,5,0,720.0,0
273,20,48.0,17043,6,5,1979,1998,0.0,1362.0,1586,0.0,3,7,1,435.0,0
274,80,125.0,10000,5,6,1956,1956,678.0,1058.0,1370,1.0,3,6,1,300.0,0
275,20,75.0,8050,6,5,2002,2002,475.0,914.0,914,1.0,2,4,0,0.0,0
276,120,43.0,3182,7,5,2005,2006,16.0,1373.0,1555,0.0,2,7,1,430.0,0
277,160,24.0,1950,6,6,1980,1980,81.0,716.0,1556,1.0,3,6,1,452.0,0
278,20,70.0,7700,5,5,1972,1972,138.0,882.0,882,1.0,3,5,0,461.0,0
279,30,98.0,8731,5,5,1920,1950,645.0,915.0,1167,0.0,3,6,1,495.0,216
280,120,89.0,8232,9,5,2007,2008,1204.0,1800.0,1800,1.0,2,6,1,944.0,0
281,160,24.0,2280,6,6,1975,1975,514.0,855.0,1456,0.0,3,6,1,440.0,0
