,MS_SubClass,Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,BsmtFin_SF_1,Total_Bsmt_SF,Bsmt_Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Fireplaces,Garage_Area,PID,Mas_Vnr_Area,1st_Flr_SF,2nd_Flr_SF,Full_Bath,Half_Bath,Kitchen_AbvGr,Wood_Deck_SF,Screen_Porch,Bsmt_Qual_missing,BrkSide,Edwards,IDOTRR,NAmes,NoRidge,NridgHt,OldTown,Somerst,StoneBr,2fmCon,New
13,160,24.0,2645,8,5,813.0,960.0,1.0,3,7,0,480.0,533236070,456.0,962,645,2,1,1,169,0,0,0,0,0,0,0,0,0,1,0,0,0
14,20,74.0,9627,7,5,24.0,1351.0,0.0,3,6,0,610.0,907418040,0.0,1361,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,93.0,10114,5,5,0.0,1430.0,0.0,3,7,0,624.0,923202105,0.0,1430,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70,34.0,4571,5,5,0.0,624.0,0.0,4,7,0,513.0,902301140,0.0,624,720,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,20,80.0,8816,5,6,651.0,1121.0,1.0,3,5,0,480.0,905101490,0.0,1121,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20,71.0,8197,6,5,0.0,660.0,0.0,3,7,1,528.0,905107140,148.0,1285,0,1,1,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0
19,60,72.0,8640,7,5,24.0,756.0,0.0,3,7,0,614.0,528458070,0.0,764,783,2,1,1,169,0,0,0,0,0,0,0,0,0,1,0,0,0
20,20,109.0,8724,5,5,492.0,894.0,0.0,3,5,1,450.0,905106150,0.0,894,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,120,40.0,5664,8,5,1158.0,1501.0,1.0,2,5,1,499.0,527131030,0.0,1659,0,2,0,1,212,0,0,0,0,0,0,0,0,0,0,1,0,0
22,60,103.0,12867,8,5,0.0,1209.0,0.0,3,8,1,575.0,528142010,0.0,1209,1044,2,1,1,243,0,0,0,0,0,0,0,1,0,0,0,0,1
23,20,0.0,7980,6,7,935.0,1168.0,1.0,3,6,0,420.0,527165230,0.0,1187,0,2,0,1,483,0,0,0,0,0,0,0,0,0,0,0,0,0
24,190,100.0,34650,5,5,1056.0,1056.0,1.0,3,5,0,572.0,527250040,0.0,1056,0,1,0,1,264,0,0,0,0,0,0,0,0,0,0,0,1,0
25,20,92.0,10573,6,6,1312.0,1453.0,1.0,3,6,1,530.0,535104120,3.0,1453,0,2,0,1,0,288,0,0,0,0,1,0,0,0,0,0,0,0
26,20,65.0,8450,5,8,553.0,894.0,1.0,3,5,1,336.0,532376160,0.0,894,0,1,0,1,416,0,0,0,0,0,0,0,0,0,0,0,0,0
27,50,0.0,11700,5,6,606.0,942.0,0.0,4,7,1,240.0,909277040,0.0,1265,673,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,190,75.0,8250,5,6,0.0,957.0,0.0,4,9,0,0.0,911103060,0.0,1034,957,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29,50,60.0,8064,5,7,0.0,672.0,0.0,3,6,1,576.0,535450190,0.0,672,252,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,20,80.0,9600,8,5,1104.0,2524.0,1.0,4,9,1,542.0,527355150,0.0,2524,0,2,1,1,474,0,0,0,0,0,0,0,0,0,0,0,0,0
31,70,0.0,11435,8,7,0.0,792.0,0.0,3,7,2,400.0,909276010,0.0,792,725,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,120,30.0,9549,8,5,437.0,1494.0,1.0,2,6,1,481.0,533250130,0.0,1494,0,1,1,1,0,216,0,0,0,0,0,0,0,0,0,0,0,0
33,20,60.0,10950,6,6,441.0,948.0,0.0,2,5,0,410.0,535302070,0.0,948,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,20,79.0,10637,8,5,1288.0,1705.0,1.0,3,7,1,826.0,906340110,336.0,1718,0,2,0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0
35,20,80.0,9000,6,6,0.0,160.0,0.0,2,5,1,384.0,535426150,82.0,1142,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,160,41.0,2665,5,6,548.0,757.0,0.0,4,6,1,336.0,923225240,0.0,925,550,2,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0
37,20,105.0,11751,6,6,705.0,1844.0,0.0,3,7,1,546.0,527358140,480.0,1844,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,20,80.0,9600,7,6,916.0,1242.0,0.0,3,6,1,528.0,534177210,320.0,1242,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,20,60.0,8428,5,7,420.0,990.0,1.0,3,5,0,384.0,907135050,0.0,990,0,1,0,1,256,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,75.0,9937,5,6,830.0,1256.0,1.0,3,6,0,276.0,908102260,0.0,1256,0,1,1,1,736,0,0,0,1,0,0,0,0,0,0,0,0,0
41,20,107.0,13891,10,5,1386.0,2076.0,1.0,2,7,1,850.0,528110050,0.0,2076,0,2,1,1,216,0,0,0,0,0,0,0,1,0,0,0,0,1
42,85,0.0,9101,5,6,1097.0,1097.0,1.0,1,4,1,602.0,923275040,104.0,1110,0,1,0,1,303,0,0,0,0,0,0,0,0,0,0,0,0,0
43,50,81.0,12150,5,5,0.0,1050.0,0.0,4,7,0,352.0,902406090,335.0,1050,745,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,20,70.0,11200,5,5,906.0,1040.0,1.0,3,5,0,384.0,905102170,0.0,1040,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,70,100.0,9670,8,6,210.0,608.0,0.0,4,9,2,786.0,909281110,40.0,983,890,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,50,60.0,10998,5,5,408.0,984.0,0.0,3,6,0,660.0,909101140,0.0,984,620,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,70,60.0,7200,7,6,0.0,776.0,0.0,3,6,1,270.0,909275050,0.0,851,651,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,20,80.0,9920,5,5,354.0,1056.0,1.0,3,6,0,280.0,534475100,110.0,1063,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,160,36.0,2448,7,5,0.0,764.0,0.0,2,6,0,474.0,528188090,106.0,764,862,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,160,0.0,2998,6,5,353.0,756.0,0.0,2,4,0,440.0,533221080,513.0,768,756,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,50,65.0,7804,4,3,622.0,1122.0,1.0,4,7,2,576.0,909250220,0.0,1328,653,2,0,1,431,0,0,0,0,0,0,0,0,0,0,0,0,0
52,60,80.0,16692,7,5,790.0,1392.0,1.0,5,12,2,564.0,527356020,184.0,1392,1392,3,1,1,0,440,0,0,0,0,0,0,0,0,0,0,0,0
53,160,21.0,1476,4,7,176.0,546.0,0.0,3,5,0,0.0,923226250,0.0,546,546,1,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0
54,20,75.0,10170,6,6,0.0,216.0,0.0,2,5,1,400.0,535305120,522.0,1575,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,60,80.0,9364,6,7,371.0,663.0,0.0,4,7,0,299.0,905106140,143.0,663,689,1,1,1,379,0,0,0,0,0,0,0,0,0,0,0,0,0
56,160,24.0,2544,7,5,368.0,600.0,1.0,2,4,0,480.0,533212020,0.0,600,600,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,20,82.0,9888,5,6,486.0,936.0,0.0,2,5,0,240.0,534479300,0.0,936,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,20,68.0,7942,6,7,85.0,1040.0,0.0,3,6,0,293.0,535304170,0.0,1040,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,60,0.0,15038,6,5,138.0,916.0,0.0,3,7,1,386.0,527107010,0.0,916,720,2,1,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,92.0,11764,8,7,524.0,1152.0,0.0,4,9,1,671.0,528382020,348.0,1164,1106,2,1,1,132,0,0,0,0,0,0,1,0,0,0,0,0,0
61,60,75.0,9000,8,5,64.0,1184.0,0.0,4,11,1,550.0,528458130,0.0,1184,1426,2,1,1,208,0,0,0,0,0,0,0,0,0,1,0,0,1
62,20,0.0,20062,7,7,1092.0,1420.0,1.0,1,4,2,690.0,905109170,0.0,1483,0,1,1,1,496,0,0,0,0,0,0,0,0,0,0,0,0,0
63,50,81.0,7308,5,5,360.0,936.0,0.0,2,6,1,225.0,902109160,0.0,960,780,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,20,70.0,8750,5,5,172.0,1382.0,0.0,3,6,0,350.0,535178120,0.0,1382,0,1,0,1,280,0,0,0,0,0,1,0,0,0,0,0,0,0
65,20,70.0,8402,5,5,206.0,1120.0,0.0,3,6,0,0.0,923202134,0.0,1120,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,70,63.0,4000,7,8,246.0,531.0,1.0,2,5,1,216.0,909252150,0.0,567,531,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,160,32.0,3363,7,5,0.0,976.0,0.0,3,7,0,380.0,908188150,117.0,976,732,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,20,94.0,13615,9,5,0.0,1802.0,0.0,3,7,1,843.0,528150040,510.0,1802,0,2,1,1,158,0,0,0,0,0,0,0,1,0,0,0,0,0
69,120,43.0,3013,7,5,16.0,1362.0,0.0,2,6,1,440.0,528228565,145.0,1506,0,2,0,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0
70,20,44.0,17485,7,5,1346.0,1508.0,1.0,1,5,2,572.0,905453080,96.0,1508,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,20,0.0,23730,7,5,700.0,1840.0,1.0,3,7,0,786.0,914453045,668.0,2032,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,20,79.0,8910,6,6,655.0,655.0,0.0,3,6,1,539.0,535403150,0.0,1194,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,160,24.0,2522,7,5,0.0,970.0,0.0,3,7,0,380.0,908188140,50.0,970,739,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,20,73.0,8688,7,5,0.0,1616.0,0.0,3,7,0,834.0,528439030,228.0,1616,0,2,0,1,208,0,0,0,0,0,0,0,0,0,1,0,0,0
75,30,0.0,6291,6,6,0.0,768.0,0.0,1,4,0,440.0,903452025,0.0,768,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,30,0.0,17529,5,5,0.0,872.0,0.0,2,5,1,322.0,905200380,65.0,872,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,30,60.0,6324,4,6,0.0,520.0,0.0,1,4,0,240.0,903235100,0.0,520,0,1,0,1,49,0,0,1,0,0,0,0,0,0,0,0,0,0
78,90,80.0,11600,5,5,443.0,1105.0,0.0,5,12,0,480.0,535106190,361.0,1105,1169,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,50,50.0,7288,5,7,0.0,936.0,0.0,3,6,0,0.0,910201050,0.0,936,665,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,70,35.0,4571,5,7,168.0,616.0,0.0,3,6,0,480.0,902301130,0.0,616,616,1,0,1,280,0,0,0,0,0,0,0,0,1,0,0,0,0
81,20,63.0,17423,9,5,1904.0,2216.0,1.0,1,9,1,1166.0,527214050,748.0,2234,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
82,50,100.0,12665,5,8,0.0,876.0,0.0,4,7,1,720.0,902300215,0.0,876,540,1,1,1,418,0,0,0,0,0,0,0,0,1,0,0,0,0
83,20,60.0,9000,4,7,240.0,864.0,0.0,3,5,0,576.0,527425110,0.0,864,0,1,0,1,200,0,0,0,0,0,1,0,0,0,0,0,0,0
84,120,32.0,4500,6,5,864.0,1189.0,1.0,2,4,0,392.0,923203140,197.0,1189,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,120,48.0,6373,9,5,415.0,1666.0,1.0,2,6,1,575.0,528186110,572.0,1666,0,2,0,1,228,0,0,0,0,0,0,0,1,0,0,0,0,1
86,20,67.0,10083,7,5,833.0,1176.0,1.0,2,5,0,555.0,531371050,0.0,1200,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,20,70.0,13300,5,7,377.0,928.0,0.0,2,4,0,252.0,535327200,0.0,928,0,1,0,1,261,0,0,0,0,0,1,0,0,0,0,0,0,0
88,20,80.0,9600,5,5,553.0,1288.0,0.0,3,6,1,502.0,534129370,128.0,1336,0,2,0,1,312,0,0,0,0,0,0,0,0,0,0,0,0,0
89,160,30.0,3215,7,5,280.0,600.0,0.0,2,4,0,480.0,533210060,120.0,600,600,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,80,0.0,11104,6,6,828.0,1427.0,0.0,4,7,0,516.0,534127210,0.0,1427,0,2,0,1,0,216,0,0,0,0,0,0,0,0,0,0,0,0
91,60,0.0,15295,7,5,762.0,860.0,1.0,3,7,2,608.0,907280090,254.0,1212,780,2,1,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0
92,60,70.0,9109,7,5,36.0,754.0,1.0,3,6,0,495.0,531452260,0.0,754,786,2,1,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0
93,90,64.0,7018,5,5,0.0,0.0,0.0,4,8,0,400.0,906226100,0.0,1535,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,80,0.0,14112,5,7,1014.0,1152.0,1.0,3,6,1,484.0,534403410,86.0,1152,0,1,0,1,227,0,0,0,0,0,1,0,0,0,0,0,0,0
95,120,80.0,3523,8,5,60.0,1141.0,1.0,2,5,0,484.0,533206060,30.0,1151,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
96,80,88.0,15312,6,5,588.0,1138.0,0.0,3,6,1,480.0,905200350,54.0,1138,0,1,0,1,0,140,0,0,0,0,0,0,0,0,0,0,0,0
97,20,74.0,7450,5,5,438.0,894.0,0.0,2,6,1,396.0,534276180,0.0,1074,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,120,60.0,7313,9,5,1153.0,1561.0,1.0,2,6,1,556.0,528186090,246.0,1561,0,2,0,1,203,0,0,0,0,0,0,0,1,0,0,0,0,0
99,60,83.0,10019,8,5,527.0,1342.0,0.0,4,9,1,725.0,528358030,397.0,1358,1368,2,1,1,307,0,0,0,0,0,0,1,0,0,0,0,0,0
100,20,53.0,15401,9,5,1337.0,1884.0,1.0,2,7,1,670.0,527214030,296.0,1884,0,2,0,1,214,0,0,0,0,0,0,0,0,0,0,1,0,0
101,30,58.0,9098,4,7,348.0,528.0,1.0,2,5,0,0.0,905476170,0.0,605,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,20,103.0,16280,8,9,1044.0,1426.0,1.0,3,6,1,550.0,533350120,0.0,1671,0,3,0,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0
103,30,72.0,9392,3,3,0.0,245.0,0.0,2,5,0,0.0,902477130,0.0,797,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,60,71.0,12209,6,5,690.0,804.0,1.0,3,7,1,560.0,914474070,0.0,804,1157,2,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
105,190,79.0,13110,5,6,962.0,1153.0,1.0,2,6,0,501.0,534125210,144.0,1193,0,2,0,1,140,0,0,0,0,0,0,0,0,0,0,0,1,0
106,160,0.0,2651,7,5,641.0,673.0,1.0,3,6,0,490.0,533223080,0.0,673,709,2,1,1,153,0,0,0,0,0,0,0,0,0,1,0,0,0
107,50,60.0,8520,6,7,168.0,714.0,0.0,5,10,1,216.0,903427040,0.0,1664,862,2,0,1,88,0,0,0,0,0,0,0,0,1,0,0,0,0
108,20,0.0,39384,6,6,1110.0,1705.0,1.0,1,4,2,550.0,526303060,902.0,1390,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,160,36.0,2628,7,5,0.0,764.0,0.0,2,6,0,474.0,528188120,106.0,764,862,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,70,57.0,6406,5,6,421.0,690.0,0.0,3,7,1,400.0,902106010,0.0,868,690,1,1,1,0,182,0,0,0,0,0,0,0,1,0,0,0,0
111,20,0.0,12342,5,5,0.0,978.0,0.0,3,6,1,286.0,534252110,0.0,1422,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,50,52.0,6240,5,7,0.0,1078.0,0.0,3,8,1,360.0,903232090,0.0,1128,445,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,20,87.0,10000,6,6,0.0,1116.0,0.0,3,5,0,440.0,535457010,261.0,1116,0,1,1,1,0,385,0,0,0,0,1,0,0,0,0,0,0,0
114,20,0.0,9000,2,2,0.0,0.0,0.0,2,5,0,0.0,905228050,0.0,660,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,20,80.0,11088,6,5,832.0,1140.0,0.0,3,7,1,479.0,527354200,144.0,1707,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,20,134.0,17755,5,4,176.0,1466.0,0.0,3,6,2,528.0,908102320,132.0,1466,0,1,1,1,0,100,0,0,1,0,0,0,0,0,0,0,0,0
117,120,0.0,4765,9,5,1027.0,1614.0,1.0,2,5,1,495.0,533215020,260.0,1638,0,2,0,1,230,0,0,0,0,0,0,0,0,0,1,0,0,0
118,190,0.0,10532,5,3,988.0,988.0,1.0,3,7,2,626.0,905226110,275.0,1721,0,2,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0
119,60,65.0,15426,6,5,821.0,928.0,1.0,3,7,0,470.0,907130100,0.0,928,836,2,1,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0
120,30,63.0,13907,5,6,290.0,996.0,1.0,3,6,1,0.0,908127120,0.0,996,0,1,0,1,144,0,0,0,1,0,0,0,0,0,0,0,0,0
121,20,70.0,8750,5,5,435.0,1202.0,0.0,3,6,0,304.0,535178040,0.0,1202,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,20,0.0,9945,5,5,827.0,988.0,1.0,3,5,0,572.0,532377140,57.0,988,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,30,56.0,8960,5,6,0.0,1008.0,0.0,2,5,1,360.0,902106140,0.0,1028,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,50,50.0,3500,5,7,312.0,720.0,0.0,2,5,0,240.0,902301080,0.0,720,564,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,60,0.0,24572,9,3,410.0,994.0,0.0,3,9,1,864.0,533350090,1050.0,1599,1345,2,2,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0
126,60,74.0,9056,8,5,0.0,707.0,0.0,3,6,1,403.0,528235130,0.0,707,707,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0
127,70,70.0,12320,7,7,0.0,637.0,0.0,3,8,2,579.0,909282060,0.0,959,650,1,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0
128,60,60.0,8238,6,5,700.0,813.0,1.0,3,6,1,400.0,527105060,0.0,813,712,2,1,1,421,0,0,0,0,0,0,0,0,0,0,0,0,0
129,80,75.0,6000,5,5,257.0,624.0,0.0,3,7,1,288.0,910205010,0.0,1092,564,1,1,1,0,100,0,0,0,1,0,0,0,0,0,0,0,0
130,120,24.0,2529,7,6,378.0,1055.0,0.0,2,4,0,440.0,527454120,0.0,1055,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,60,60.0,10800,5,7,0.0,676.0,0.0,4,7,0,720.0,535376060,0.0,676,676,2,0,1,187,0,0,0,0,0,0,0,0,1,0,0,0,0
132,160,24.0,2349,6,5,389.0,855.0,0.0,3,6,1,440.0,527454130,0.0,855,601,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,120,32.0,10846,8,5,1619.0,1719.0,2.0,1,6,2,473.0,533250160,0.0,1719,0,1,1,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0
134,30,67.0,5604,5,6,468.0,864.0,1.0,2,5,0,0.0,909100170,0.0,864,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,160,21.0,1680,6,5,458.0,483.0,0.0,2,5,0,264.0,527450110,359.0,483,504,1,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0
136,50,54.0,6342,5,8,0.0,780.0,0.0,2,6,0,0.0,905101100,0.0,780,240,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,120,34.0,4590,8,5,24.0,1554.0,0.0,2,6,1,627.0,528181060,108.0,1554,0,2,0,1,156,0,0,0,0,0,0,0,1,0,0,0,0,0
138,60,60.0,18062,10,5,0.0,1528.0,0.0,5,10,1,758.0,527210040,662.0,1528,1862,3,1,1,204,0,0,0,0,0,0,0,0,0,0,1,0,1
139,70,60.0,12900,6,8,0.0,780.0,0.0,3,7,0,0.0,903426200,0.0,780,780,1,1,1,344,168,0,0,0,0,0,0,0,1,0,0,0,0
140,20,140.0,19138,4,5,120.0,864.0,0.0,2,4,0,400.0,527276150,0.0,864,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,60,0.0,8658,6,5,732.0,982.0,0.0,3,9,1,431.0,528275080,0.0,1008,881,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,20,0.0,6897,5,8,659.0,1040.0,1.0,3,6,0,260.0,532378110,0.0,1040,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,20,75.0,9525,5,7,954.0,1172.0,1.0,3,5,0,366.0,905452160,0.0,1172,0,1,0,1,240,0,0,0,1,0,0,0,0,0,0,0,0,0
144,20,57.0,12853,8,5,1032.0,1642.0,1.0,1,6,1,852.0,533238045,0.0,1418,0,1,1,1,160,0,0,0,0,0,0,0,0,0,1,0,0,1
145,50,52.0,6240,6,6,425.0,884.0,0.0,3,6,1,560.0,903233180,0.0,959,408,1,0,1,0,120,0,1,0,0,0,0,0,0,0,0,0,0
146,85,64.0,7301,7,5,0.0,0.0,0.0,4,7,1,672.0,908128060,500.0,495,1427,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
147,20,78.0,12090,6,6,588.0,1422.0,0.0,3,7,1,576.0,527302050,210.0,1422,0,2,0,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0
148,60,0.0,8826,7,5,841.0,985.0,1.0,3,7,1,486.0,907192040,144.0,985,857,2,1,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0
149,50,57.0,8094,4,5,0.0,888.0,0.0,4,9,1,572.0,903426180,0.0,888,1074,1,1,1,160,0,0,0,0,0,0,0,0,1,0,0,0,0
150,20,0.0,10710,5,7,644.0,864.0,0.0,3,5,1,656.0,527455280,165.0,1120,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,60,85.0,16056,9,5,240.0,1992.0,0.0,4,11,1,716.0,527212030,208.0,1992,876,3,1,1,214,0,0,0,0,0,0,0,0,0,0,1,0,1
152,20,70.0,8400,6,3,189.0,1478.0,1.0,3,6,2,442.0,535152230,0.0,1478,0,1,1,1,114,216,0,0,0,0,1,0,0,0,0,0,0,0
153,60,90.0,11250,7,5,685.0,930.0,1.0,4,8,1,610.0,907285100,0.0,950,1045,2,1,1,275,0,0,0,0,0,0,0,0,0,0,0,0,0
154,20,70.0,7535,5,7,111.0,912.0,0.0,2,5,0,297.0,534276160,0.0,912,0,1,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0
155,20,88.0,12216,6,5,918.0,1326.0,1.0,3,6,0,388.0,528221050,0.0,1326,0,2,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0
156,120,30.0,3701,8,5,0.0,1191.0,0.0,2,5,0,461.0,527182020,0.0,1204,0,2,0,1,120,0,0,0,0,0,0,0,0,0,0,1,0,0
157,60,80.0,9760,6,6,674.0,780.0,1.0,4,7,0,442.0,535476370,360.0,798,813,1,1,1,328,189,0,0,0,0,1,0,0,0,0,0,0,0
158,190,60.0,9873,4,5,789.0,960.0,1.0,3,6,0,576.0,903425340,160.0,960,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
